Id,date,total_sleep_minutes
4319703577,2016-04-13,96.0
4319703577,2016-04-14,519.0
4319703577,2016-04-15,484.0
4319703577,2016-04-16,539.0
4319703577,2016-04-17,100.0
4319703577,2016-04-18,590.0
4319703577,2016-04-19,569.0
4319703577,2016-04-20,453.0
4319703577,2016-04-21,156.0
4319703577,2016-04-22,555.0
4319703577,2016-04-23,686.0
4319703577,2016-04-24,591.0
4319703577,2016-04-25,520.0
4319703577,2016-04-26,482.0
4319703577,2016-04-27,433.0
4319703577,2016-04-28,540.0
4319703577,2016-04-29,534.0
4319703577,2016-04-30,537.0
4319703577,2016-05-01,549.0
4319703577,2016-05-02,535.0
4319703577,2016-05-03,481.0
4319703577,2016-05-04,481.0
4319703577,2016-05-05,111.0
4319703577,2016-05-06,454.0
4319703577,2016-05-07,575.0
4319703577,2016-05-08,715.0
4319703577,2016-05-09,596.0
4319703577,2016-05-10,569.0
4319703577,2016-05-11,558.0
4319703577,2016-05-12,267.0
4388161847,2016-03-11,263.0
4388161847,2016-03-12,263.0
4388161847,2016-03-13,263.0
4388161847,2016-03-14,263.0
4388161847,2016-03-15,263.0
4388161847,2016-03-16,263.0
4388161847,2016-03-17,263.0
4388161847,2016-03-18,263.0
4388161847,2016-03-19,263.0
4388161847,2016-03-20,263.0
4388161847,2016-03-21,263.0
4388161847,2016-03-22,263.0
4388161847,2016-03-23,263.0
4388161847,2016-03-24,263.0
4388161847,2016-03-25,263.0
4388161847,2016-03-26,263.0
4388161847,2016-03-27,263.0
4388161847,2016-03-28,263.0
4388161847,2016-03-29,263.0
4388161847,2016-03-30,263.0
4388161847,2016-03-31,263.0
4388161847,2016-04-01,263.0
4388161847,2016-04-02,263.0
4388161847,2016-04-03,263.0
4388161847,2016-04-04,263.0
4388161847,2016-04-05,263.0
4388161847,2016-04-06,263.0
4388161847,2016-04-07,263.0
4388161847,2016-04-08,263.0
4388161847,2016-04-09,263.0
4388161847,2016-04-10,263.0
4388161847,2016-04-11,263.0
4388161847,2016-04-12,263.0
4388161847,2016-04-13,263.0
4388161847,2016-04-14,263.0
4388161847,2016-04-15,312.0
4388161847,2016-04-16,589.0
4388161847,2016-04-17,537.0
4388161847,2016-04-18,164.0
4388161847,2016-04-19,473.0
4388161847,2016-04-20,480.0
4388161847,2016-04-21,302.0
4388161847,2016-04-22,185.0
4388161847,2016-04-23,431.0
4388161847,2016-04-24,645.0
4388161847,2016-04-25,53.0
4388161847,2016-04-26,548.0
4388161847,2016-04-27,493.0
4388161847,2016-04-28,312.0
4388161847,2016-04-29,312.0
4388161847,2016-04-30,585.0
4388161847,2016-05-01,643.0
4388161847,2016-05-02,266.0
4388161847,2016-05-03,117.0
4388161847,2016-05-04,542.0
4388161847,2016-05-05,307.0
4388161847,2016-05-06,307.0
